Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-12-10,13,14,25.282,PIT,CLE,True,11,6,93,15.50,0,54.5%,8.45,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,6,3.00,0,,0,0,0,,0,0,0,0,,,,,,,True,False,6,13,Santonio Holmes
2009,2009-12-20,14,15,25.292,PIT,GNB,True,7,3,77,25.67,0,42.9%,11.00,1,-2,-2.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,37,36,Santonio Holmes
2009,2009-12-27,15,16,25.299,PIT,BAL,True,12,5,86,17.20,1,41.7%,7.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,23,20,Santonio Holmes
2009,2010-01-03,16,17,25.306,PIT,MIA,True,3,1,5,5.00,1,33.3%,1.67,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,30,24,Santonio Holmes
2010,2010-09-13,1,1,,NYJ,BAL,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,False,9,10,Santonio Holmes
2010,2010-09-19,2,2,,NYJ,NWE,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,28,14,Santonio Holmes
2010,2010-09-26,3,3,,NYJ,MIA,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,True,31,23,Santonio Holmes
2010,2010-10-03,4,4,,NYJ,BUF,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,True,38,14,Santonio Holmes
2010,2010-10-11,5,5,26.222,NYJ,MIN,False,9,3,41,13.67,0,33.3%,4.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,29,20,Santonio Holmes
2010,2010-10-17,6,6,26.228,NYJ,DEN,False,5,4,47,11.75,0,80.0%,9.40,1,14,14.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,True,True,24,20,Santonio Holmes
