Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-24,3,3,25.036,SEA,NYG,True,6,4,42,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,42,30,Nate Burleson
2006,2006-10-01,4,4,25.043,SEA,CHI,False,4,1,19,19.00,0,25.0%,4.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,6,37,Nate Burleson
2006,2006-10-15,5,6,25.057,SEA,STL,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,7,7.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,30,28,Nate Burleson
2006,2006-10-22,6,7,25.064,SEA,MIN,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,31,Nate Burleson
2006,2006-10-29,7,8,25.071,SEA,KAN,False,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,28,35,Nate Burleson
2006,2006-11-06,8,9,25.079,SEA,OAK,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,4,39,9.75,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,16,0,Nate Burleson
2006,2006-11-12,9,10,25.085,SEA,STL,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,95,31.67,1,,1,6,0.0,2,1,3,0,0,0,,0,0,0,0,,,,,,,False,True,24,22,Nate Burleson
2006,2006-11-19,10,11,25.092,SEA,SFO,False,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,4,31,7.75,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,20,Nate Burleson
2006,2006-11-27,11,12,25.100,SEA,GNB,False,4,3,17,5.67,0,75.0%,4.25,0,0,,0,5,129,25.80,0,3,28,9.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,False,True,34,24,Nate Burleson
2006,2006-12-03,12,13,25.106,SEA,DEN,True,2,2,23,11.50,0,100.0%,11.50,0,0,,0,4,107,26.75,0,5,36,7.20,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Nate Burleson
2006,2006-12-10,13,14,25.113,SEA,ARI,False,1,1,5,5.00,1,100.0%,5.00,0,0,,0,6,159,26.50,0,2,9,4.50,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,21,27,Nate Burleson
2006,2006-12-14,14,15,25.117,SEA,SFO,True,5,2,12,6.00,0,40.0%,2.40,0,0,,0,4,95,23.75,0,4,14,3.50,0,,0,0,0.0,1,0,1,0,0,1,0,0,1,0,0,,,,,,,False,False,14,24,Nate Burleson
