Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2016,2016-09-18,2,2,28.094,ARI,TAM,False,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,36%,0,0%,0,0%,False,True,40,7,Jermaine Gresham
2016,2016-09-25,3,3,28.101,ARI,BUF,True,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,22%,0,0%,0,0%,True,False,18,33,Jermaine Gresham
2016,2016-10-02,4,4,28.108,ARI,LAR,False,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,49%,0,0%,0,0%,False,False,13,17,Jermaine Gresham
2016,2016-10-06,5,5,28.112,ARI,SFO,True,1,1,4,4.00,0,100.0%,4.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,84%,0,0%,0,0%,True,True,33,21,Jermaine Gresham
2016,2016-10-17,6,6,28.123,ARI,NYJ,True,2,1,14,14.00,0,50.0%,7.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,95%,0,0%,0,0%,False,True,28,3,Jermaine Gresham
2016,2016-10-23,7,7,28.129,ARI,SEA,True,4,2,15,7.50,0,50.0%,3.75,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,86%,0,0%,0,0%,False,False,6,6,Jermaine Gresham
2016,2016-10-30,8,8,28.136,ARI,CAR,True,5,3,32,10.67,0,60.0%,6.40,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,89%,0,0%,0,0%,True,False,20,30,Jermaine Gresham
2016,2016-11-13,9,10,28.150,ARI,SFO,True,6,4,38,9.50,0,66.7%,6.33,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,86%,0,0%,0,0%,False,True,23,20,Jermaine Gresham
2016,2016-11-20,10,11,28.157,ARI,MIN,True,2,2,33,16.50,1,100.0%,16.50,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,59,80%,0,0%,0,0%,True,False,24,30,Jermaine Gresham
2016,2016-11-27,11,12,28.164,ARI,ATL,True,10,5,35,7.00,1,50.0%,3.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,94%,0,0%,0,0%,True,False,19,38,Jermaine Gresham
