Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-28,4,4,33.360,SFO,,PHI,W 26-21,True,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,71,86%,0,0%,0,0%,False,Anquan Boldin
2014,2014-10-05,5,5,34.002,SFO,,KAN,W 22-17,True,8,4,72,18.00,0,50.0%,9.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,0,0,0,0,0,0,60,86%,0,0%,0,0%,False,Anquan Boldin
2014,2014-10-13,6,6,34.010,SFO,@,STL,W 31-17,True,9,7,94,13.43,1,77.8%,10.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,58,87%,0,0%,1,3%,True,Anquan Boldin
2014,2014-10-19,7,7,34.016,SFO,@,DEN,L 17-42,True,10,7,50,7.14,0,70.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,84%,0,0%,0,0%,True,Anquan Boldin
2014,2014-11-02,8,9,34.030,SFO,,STL,L 10-13,True,7,6,93,15.50,1,85.7%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,57,85%,0,0%,0,0%,False,Anquan Boldin
2014,2014-11-09,9,10,34.037,SFO,@,NOR,W 27-24,True,14,6,95,15.83,1,42.9%,6.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,62,90%,0,0%,0,0%,True,Anquan Boldin
2014,2014-11-16,10,11,34.044,SFO,@,NYG,W 16-10,True,6,5,53,10.60,0,83.3%,8.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,True,Anquan Boldin
2014,2014-11-23,11,12,34.051,SFO,,WAS,W 17-13,True,12,9,137,15.22,1,75.0%,11.42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,54,89%,0,0%,0,0%,False,Anquan Boldin
2014,2014-11-27,12,13,34.055,SFO,,SEA,L 3-19,True,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,57,98%,0,0%,0,0%,False,Anquan Boldin
2014,2014-12-07,13,14,34.065,SFO,@,OAK,L 13-24,True,9,4,54,13.50,0,44.4%,6.00,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,True,Anquan Boldin
2014,2014-12-14,14,15,34.072,SFO,@,SEA,L 7-17,True,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,56,97%,0,0%,0,0%,True,Anquan Boldin
2014,2014-12-20,15,16,34.078,SFO,,SDG,L 35-38,True,9,7,61,8.71,0,77.8%,6.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,70,97%,0,0%,1,3%,False,Anquan Boldin
2014,2014-12-28,16,17,34.086,SFO,,ARI,W 20-17,True,9,2,81,40.50,1,22.2%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,59,94%,0,0%,0,0%,False,Anquan Boldin
2015,2015-09-14,1,1,34.346,SFO,,MIN,W 20-3,True,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,56,80%,0,0%,0,0%,False,Anquan Boldin
2015,2015-09-20,2,2,34.352,SFO,@,PIT,L 18-43,True,10,6,60,10.00,1,60.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,79,88%,0,0%,0,0%,True,Anquan Boldin
