Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-11-23,11,12,22.190,LAC,@,DAL,W 28-6,False,6,15,2.50,0,3,3,55,18.33,0,100.0%,18.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,11,58%,True,Austin Ekeler
2017,2017-12-03,12,13,22.200,LAC,,CLE,W 19-10,False,4,19,4.75,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,29%,0,0%,7,33%,False,Austin Ekeler
2017,2017-12-10,13,14,22.207,LAC,,WAS,W 30-13,False,4,49,12.25,0,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,4,1,5,0,0,0,0,0,0,0,0,18,25%,0,0%,21,68%,False,Austin Ekeler
2017,2017-12-16,14,15,22.213,LAC,@,KAN,L 13-30,False,2,13,6.50,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,10,16%,0,0%,6,24%,True,Austin Ekeler
2017,2017-12-24,15,16,22.221,LAC,@,NYJ,W 14-7,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,14%,True,Austin Ekeler
2017,2017-12-31,16,17,22.228,LAC,,OAK,W 30-10,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,27%,False,Austin Ekeler
2018,2018-09-09,1,1,23.115,LAC,,KAN,L 28-38,False,5,39,7.80,0,5,5,87,17.40,1,100.0%,17.40,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,22,27%,0,0%,20,67%,False,Austin Ekeler
2018,2018-09-16,2,2,23.122,LAC,@,BUF,W 31-20,False,11,77,7.00,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,23,41%,0,0%,13,43%,True,Austin Ekeler
2018,2018-09-23,3,3,23.129,LAC,@,LAR,L 23-35,False,4,47,11.75,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,18,35%,0,0%,15,60%,True,Austin Ekeler
2018,2018-09-30,4,4,23.136,LAC,,SFO,W 29-27,False,8,25,3.13,0,3,2,31,15.50,1,66.7%,10.33,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,23,34%,0,0%,21,66%,False,Austin Ekeler
2018,2018-10-07,5,5,23.143,LAC,,OAK,W 26-10,False,6,15,2.50,0,3,1,44,44.00,1,33.3%,14.67,0,0,,0,,1,6,0.0,2,0,2,0,0,0,0,0,0,0,0,23,36%,0,0%,16,64%,False,Austin Ekeler
