Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-03,9.0,9.0,28.101,DEN,CLE,W 24-19,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,False,Brandon McManus,True,24,19
2019.0,2019-11-17,10.0,11.0,28.115,DEN,MIN,L 23-27,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,43%,True,Brandon McManus,False,23,27
2019.0,2019-11-24,11.0,12.0,28.122,DEN,BUF,L 3-20,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,13%,True,Brandon McManus,False,3,20
2019.0,2019-12-01,12.0,13.0,28.129,DEN,LAC,W 23-20,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,32%,False,Brandon McManus,True,23,20
2019.0,2019-12-08,13.0,14.0,28.136,DEN,HOU,W 38-24,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,48%,True,Brandon McManus,True,38,24
2019.0,2019-12-15,14.0,15.0,28.143,DEN,KAN,L 3-23,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,17%,True,Brandon McManus,False,3,23
2019.0,2019-12-22,15.0,16.0,28.15,DEN,DET,W 27-17,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,False,Brandon McManus,True,27,17
2019.0,2019-12-29,16.0,17.0,28.157,DEN,OAK,W 16-15,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,39%,False,Brandon McManus,True,16,15
2020.0,2020-09-14,1.0,1.0,29.051,DEN,TEN,L 14-16,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,21%,False,Brandon McManus,False,14,16
2020.0,2020-09-20,2.0,2.0,29.057,DEN,PIT,L 21-26,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,9,30%,True,Brandon McManus,False,21,26
2020.0,2020-09-27,3.0,3.0,29.064,DEN,TAM,L 10-28,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,False,Brandon McManus,False,10,28
2020.0,2020-10-01,4.0,4.0,29.068,DEN,NYJ,W 37-28,False,0,0,,0,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,43%,True,Brandon McManus,True,37,28
2020.0,2020-10-18,5.0,6.0,29.085,DEN,NWE,W 18-12,False,0,0,,0,,,,6,6,100.0,0,18,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,54%,True,Brandon McManus,True,18,12
2020.0,2020-10-25,6.0,7.0,29.092,DEN,KAN,L 16-43,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,23%,False,Brandon McManus,False,16,43
2020.0,2020-11-01,7.0,8.0,29.099,DEN,LAC,W 31-30,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,31%,False,Brandon McManus,True,31,30
2020.0,2020-11-08,8.0,9.0,29.106,DEN,ATL,L 27-34,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,31%,True,Brandon McManus,False,27,34
2020.0,2020-11-15,9.0,10.0,29.113,DEN,LVR,L 12-37,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,21%,True,Brandon McManus,False,12,37
