Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-10-17,6,6,27.026,GNB,MIA,True,7,6,133,22.17,1,85.7%,19.00,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,20,23,Greg Jennings
2010,2010-10-24,7,7,27.033,GNB,MIN,True,10,6,74,12.33,1,60.0%,7.40,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,28,24,Greg Jennings
2010,2010-10-31,8,8,27.040,GNB,NYJ,True,12,6,81,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,9,0,Greg Jennings
2010,2010-11-07,9,9,27.047,GNB,DAL,True,7,7,80,11.43,1,100.0%,11.43,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,45,7,Greg Jennings
2010,2010-11-21,10,11,27.061,GNB,MIN,True,9,7,152,21.71,3,77.8%,16.89,0,0,,0,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,True,True,31,3,Greg Jennings
2010,2010-11-28,11,12,27.068,GNB,ATL,True,8,5,119,23.80,0,62.5%,14.88,0,0,,0,0,0,,0,,0,0,2,0,0,0,0,0,,,,,,,True,False,17,20,Greg Jennings
2010,2010-12-05,12,13,27.075,GNB,SFO,True,7,6,122,20.33,2,85.7%,17.43,0,0,,0,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,34,16,Greg Jennings
2010,2010-12-12,13,14,27.082,GNB,DET,True,9,4,52,13.00,0,44.4%,5.78,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,7,Greg Jennings
2010,2010-12-19,14,15,27.089,GNB,NWE,True,5,4,30,7.50,1,80.0%,6.00,1,-1,-1.00,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,27,31,Greg Jennings
2010,2010-12-26,15,16,27.096,GNB,NYG,True,10,7,142,20.29,0,70.0%,14.20,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,45,17,Greg Jennings
2010,2011-01-02,16,17,27.103,GNB,CHI,True,10,4,97,24.25,0,40.0%,9.70,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,10,3,Greg Jennings
2011,2011-09-08,1,1,27.352,GNB,NOR,True,8,7,89,12.71,1,87.5%,11.13,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,42,34,Greg Jennings
2011,2011-09-18,2,2,27.362,GNB,CAR,True,8,2,55,27.50,1,25.0%,6.88,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,30,23,Greg Jennings
2011,2011-09-25,3,3,28.004,GNB,CHI,True,10,9,119,13.22,0,90.0%,11.90,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,27,17,Greg Jennings
2011,2011-10-02,4,4,28.011,GNB,DEN,True,7,7,103,14.71,1,100.0%,14.71,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,49,23,Greg Jennings
2011,2011-10-09,5,5,28.018,GNB,ATL,True,5,4,82,20.50,1,80.0%,16.40,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,25,14,Greg Jennings
2011,2011-10-16,6,6,28.025,GNB,STL,True,10,6,82,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,24,3,Greg Jennings
2011,2011-10-23,7,7,28.032,GNB,MIN,True,10,7,147,21.00,1,70.0%,14.70,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,33,27,Greg Jennings
2011,2011-11-06,8,9,28.046,GNB,SDG,True,8,6,46,7.67,1,75.0%,5.75,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,45,38,Greg Jennings
2011,2011-11-14,9,10,28.054,GNB,MIN,True,5,3,32,10.67,1,60.0%,6.40,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,45,7,Greg Jennings
2011,2011-11-20,10,11,28.060,GNB,TAM,True,6,2,6,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,35,26,Greg Jennings
2011,2011-11-24,11,12,28.064,GNB,DET,True,5,5,74,14.80,1,100.0%,14.80,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,27,15,Greg Jennings
2011,2011-12-04,12,13,28.074,GNB,NYG,True,14,7,94,13.43,1,50.0%,6.71,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,38,35,Greg Jennings
2011,2011-12-11,13,14,28.081,GNB,OAK,True,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,46,16,Greg Jennings
2011,2011-12-18,14,15,,GNB,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,19,Greg Jennings
2011,2011-12-25,15,16,,GNB,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,21,Greg Jennings
2011,2012-01-01,16,17,,GNB,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,45,41,Greg Jennings
2012,2012-09-09,1,1,28.354,GNB,SFO,True,9,5,34,6.80,0,55.6%,3.78,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,63,93%,0,0%,0,0%,False,False,22,30,Greg Jennings
