Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-11-28,11,12,,NYG,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,49,Mario Manningham
2011,2011-12-04,12,13,,NYG,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,35,38,Mario Manningham
2011,2011-12-11,13,14,25.200,NYG,DAL,True,8,2,62,31.00,1,25.0%,7.75,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,37,34,Mario Manningham
2011,2011-12-18,14,15,25.207,NYG,WAS,False,5,3,57,19.00,0,60.0%,11.40,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,23,Mario Manningham
2011,2011-12-24,15,16,,NYG,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,29,14,Mario Manningham
2011,2012-01-01,16,17,25.221,NYG,DAL,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,31,14,Mario Manningham
2012,2012-09-09,1,1,26.107,SFO,GNB,False,4,4,29,7.25,0,100.0%,7.25,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,29,44%,0,0%,0,0%,True,True,30,22,Mario Manningham
2012,2012-09-16,2,2,26.114,SFO,DET,True,4,3,28,9.33,0,75.0%,7.00,1,29,29.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,60%,0,0%,0,0%,False,True,27,19,Mario Manningham
2012,2012-09-23,3,3,26.121,SFO,MIN,False,5,5,56,11.20,0,100.0%,11.20,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,False,13,24,Mario Manningham
2012,2012-09-30,4,4,26.128,SFO,NYJ,True,5,3,47,15.67,0,60.0%,9.40,1,28,28.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,44%,0,0%,0,0%,True,True,34,0,Mario Manningham
2012,2012-10-07,5,5,26.135,SFO,BUF,True,5,4,26,6.50,1,80.0%,5.20,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,True,45,3,Mario Manningham
2012,2012-10-14,6,6,26.142,SFO,NYG,True,10,5,72,14.40,0,50.0%,7.20,1,7,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,67%,0,0%,0,0%,False,False,3,26,Mario Manningham
2012,2012-10-18,7,7,,SFO,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,6,Mario Manningham
2012,2012-10-29,8,8,26.157,SFO,ARI,True,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,44%,0,0%,0,0%,True,True,24,3,Mario Manningham
