Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-11-10,10,10,26.097,BUF,PIT,True,8,23,2.88,0,3,3,11,3.67,0,100.0%,3.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,33%,0,0%,0,0%,True,False,10,23,C.J. Spiller
2013,2013-11-17,11,11,26.104,BUF,NYJ,False,13,6,0.46,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,40%,0,0%,0,0%,False,True,37,14,C.J. Spiller
2013,2013-12-01,12,13,26.118,BUF,ATL,True,15,149,9.93,1,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,0,0%,False,False,31,34,C.J. Spiller
2013,2013-12-08,13,14,26.125,BUF,TAM,True,11,22,2.00,0,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,39%,0,0%,0,0%,True,False,6,27,C.J. Spiller
2013,2013-12-15,14,15,26.132,BUF,JAX,True,13,67,5.15,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,29%,0,0%,0,0%,True,True,27,20,C.J. Spiller
2013,2013-12-22,15,16,26.139,BUF,MIA,True,21,83,3.95,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,1,0,0,37,47%,0,0%,0,0%,False,True,19,0,C.J. Spiller
2013,2013-12-29,16,17,26.146,BUF,NWE,True,19,105,5.53,0,5,5,28,5.60,0,100.0%,5.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,48%,0,0%,0,0%,True,False,20,34,C.J. Spiller
2014,2014-09-07,1,1,27.033,BUF,CHI,True,15,53,3.53,0,3,3,11,3.67,1,100.0%,3.67,1,29,29.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,28,49%,0,0%,5,17%,True,True,23,20,C.J. Spiller
2014,2014-09-14,2,2,27.040,BUF,MIA,False,12,69,5.75,0,1,1,9,9.00,0,100.0%,9.00,2,122,61.00,1,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,42%,0,0%,3,10%,False,True,29,10,C.J. Spiller
2014,2014-09-21,3,3,27.047,BUF,SDG,True,10,25,2.50,0,3,3,37,12.33,0,100.0%,12.33,1,18,18.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,36%,0,0%,5,19%,False,False,10,22,C.J. Spiller
2014,2014-09-28,4,4,27.054,BUF,HOU,True,15,60,4.00,0,3,3,24,8.00,0,100.0%,8.00,3,82,27.33,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,31,44%,0,0%,6,18%,True,False,17,23,C.J. Spiller
2014,2014-10-05,5,5,27.061,BUF,DET,False,10,8,0.80,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,35%,0,0%,3,9%,True,True,17,14,C.J. Spiller
2014,2014-10-12,6,6,27.068,BUF,NWE,True,6,19,3.17,0,1,0,0,,0,0.0%,0.00,2,52,26.00,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,12,17%,0,0%,7,23%,False,False,22,37,C.J. Spiller
2014,2014-10-19,7,7,27.075,BUF,MIN,True,1,53,53.00,0,1,1,3,3.00,0,100.0%,3.00,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,13%,0,0%,2,7%,False,True,17,16,C.J. Spiller
2014,2014-10-26,8,8,,BUF,NYJ,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,43,23,C.J. Spiller
2014,2014-11-09,9,10,,BUF,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,13,17,C.J. Spiller
