Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-11-12,10,10,26.259,NYJ,@,TAM,L 10-15,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,16%,True,Chandler Catanzaro
2017,2017-11-26,11,12,26.273,NYJ,,CAR,L 27-35,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,30%,False,Chandler Catanzaro
2017,2017-12-03,12,13,26.280,NYJ,,KAN,W 38-31,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,48%,False,Chandler Catanzaro
2017,2017-12-10,13,14,26.287,NYJ,@,DEN,L 0-23,False,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,1,4%,True,Chandler Catanzaro
2017,2017-12-17,14,15,26.294,NYJ,@,NOR,L 19-31,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,27%,True,Chandler Catanzaro
2017,2017-12-24,15,16,26.301,NYJ,,LAC,L 7-14,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,11%,False,Chandler Catanzaro
2017,2017-12-31,16,17,26.308,NYJ,@,NWE,L 6-26,False,,,,2,3,66.7,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,19%,True,Chandler Catanzaro
2018,2018-09-09,1,1,27.195,TAM,@,NOR,W 48-40,False,6,6,100.0,2,3,66.7,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,18,55%,True,Chandler Catanzaro
2018,2018-09-16,2,2,27.202,TAM,,PHI,W 27-21,False,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Chandler Catanzaro
2018,2018-09-24,3,3,27.210,TAM,,PIT,L 27-30,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,34%,False,Chandler Catanzaro
2018,2018-09-30,4,4,27.216,TAM,@,CHI,L 10-48,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,18%,True,Chandler Catanzaro
2018,2018-10-14,5,6,27.230,TAM,@,ATL,L 29-34,False,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,34%,True,Chandler Catanzaro
2018,2018-10-21,6,7,27.237,TAM,,CLE,W 26-23,False,2,3,66.7,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,36%,False,Chandler Catanzaro
2018,2018-10-28,7,8,27.244,TAM,@,CIN,L 34-37,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,36%,True,Chandler Catanzaro
2018,2018-11-04,8,9,27.251,TAM,@,CAR,L 28-42,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,28%,True,Chandler Catanzaro
2018,2018-11-11,9,10,27.258,TAM,,WAS,L 3-16,False,,,,1,3,33.3,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,25%,False,Chandler Catanzaro
2018,2018-12-09,13,14,27.286,CAR,@,CLE,L 20-26,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,True,Chandler Catanzaro
2018,2018-12-17,14,15,27.294,CAR,,NOR,L 9-12,False,1,1,100.0,,,,0,1,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,3,15%,False,Chandler Catanzaro
2018,2018-12-23,15,16,27.300,CAR,,ATL,L 10-24,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,23%,False,Chandler Catanzaro
2018,2018-12-30,16,17,27.307,CAR,@,NOR,W 33-14,False,3,4,75.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,48%,True,Chandler Catanzaro
,77 Games,,,,,,,40-36-1,False,182,196,92.9,119,142,83.8,0,539,0.0,9,1,10,0,0,2,66,33.00,0,,,,,,,False,Chandler Catanzaro
