Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-12-26,15.0,16.0,24.248,SEA,TAM,L 15-38,True,14,53,3.79,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,15,38
2010.0,2011-01-02,16.0,17.0,24.255,SEA,STL,W 16-6,False,20,75,3.75,0,1,1,-7,-7.00,0,100.0%,-7.00,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,Marshawn Lynch,True,16,6
2011.0,2011-09-11,1.0,1.0,25.142,SEA,SFO,L 17-33,True,13,33,2.54,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,17,33
2011.0,2011-09-18,2.0,2.0,25.149,SEA,PIT,L 0-24,True,6,11,1.83,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,0,24
2011.0,2011-09-25,3.0,3.0,25.156,SEA,ARI,W 13-10,True,19,73,3.84,0,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,13,10
2011.0,2011-10-02,4.0,4.0,25.163,SEA,ATL,L 28-30,True,8,24,3.00,1,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,False,28,30
2011.0,2011-10-09,5.0,5.0,25.17,SEA,NYG,W 36-25,True,12,98,8.17,1,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,1,0,1,0,0,,,,,,,True,Marshawn Lynch,True,36,25
2011.0,2011-10-23,6.0,7.0,,SEA,CLE,L 3-6,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Marshawn Lynch,False,3,6
2011.0,2011-10-30,7.0,8.0,25.191,SEA,CIN,L 12-34,True,16,24,1.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Marshawn Lynch,False,12,34
2011.0,2011-11-06,8.0,9.0,25.198,SEA,DAL,L 13-23,True,23,135,5.87,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Marshawn Lynch,False,13,23
2011.0,2011-11-13,9.0,10.0,25.205,SEA,BAL,W 22-17,True,32,109,3.41,1,7,5,58,11.60,0,71.4%,8.29,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Marshawn Lynch,True,22,17
