Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021,2021-10-03,4,4,29.005,SEA,@,SFO,W 28-21,True,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,86%,0,0%,1,3%,True,Tyler Lockett
2021,2021-10-07,5,5,29.009,SEA,,LAR,L 17-26,True,10,5,57,11.40,0,50.0%,5.70,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,0,0%,False,Tyler Lockett
2021,2021-10-17,6,6,29.019,SEA,@,PIT,L 20-23,True,7,2,35,17.50,0,28.6%,5.00,0,0,,0,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,2,6%,True,Tyler Lockett
2021,2021-10-25,7,7,29.027,SEA,,NOR,L 10-13,True,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,86%,0,0%,0,0%,False,Tyler Lockett
2021,2021-10-31,8,8,29.033,SEA,,JAX,W 31-7,True,13,12,142,11.83,0,92.3%,10.92,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,77%,0,0%,1,4%,False,Tyler Lockett
2021,2021-11-14,9,10,29.047,SEA,@,GNB,L 0-17,True,8,2,23,11.50,0,25.0%,2.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,True,Tyler Lockett
2021,2021-11-21,10,11,29.054,SEA,,ARI,L 13-23,True,5,4,115,28.75,0,80.0%,23.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,92%,0,0%,0,0%,False,Tyler Lockett
2021,2021-11-29,11,12,29.062,SEA,@,WAS,L 15-17,True,5,3,96,32.00,0,60.0%,19.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,100%,0,0%,0,0%,True,Tyler Lockett
2021,2021-12-05,12,13,29.068,SEA,,SFO,W 30-23,True,8,7,68,9.71,1,87.5%,8.50,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,False,Tyler Lockett
2021,2021-12-12,13,14,29.075,SEA,@,HOU,W 33-13,True,9,5,142,28.40,1,55.6%,15.78,0,0,,0,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,46,75%,0,0%,0,0%,True,Tyler Lockett
