Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2001,2001-12-16,13,14,23.341,CIN,NYJ,False,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,14,15,Chad Johnson
2001,2001-12-23,14,15,23.348,CIN,BAL,False,7,3,28,9.33,0,42.9%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,0,16,Chad Johnson
2001,2001-12-30,15,16,23.355,CIN,PIT,False,7,2,25,12.50,0,28.6%,3.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,26,23,Chad Johnson
2001,2002-01-06,16,17,23.362,CIN,TEN,True,7,2,34,17.00,0,28.6%,4.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,True,23,21,Chad Johnson
2002,2002-09-08,1,1,24.242,CIN,SDG,False,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,False,False,6,34,Chad Johnson
2002,2002-09-15,2,2,24.249,CIN,CLE,False,8,4,58,14.50,1,50.0%,7.25,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,7,20,Chad Johnson
2002,2002-09-22,3,3,24.256,CIN,ATL,True,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,3,30,Chad Johnson
2002,2002-09-29,4,4,24.263,CIN,TAM,True,10,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,False,False,7,35,Chad Johnson
2002,2002-10-06,5,5,24.270,CIN,IND,True,12,6,72,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,21,28,Chad Johnson
2002,2002-10-13,6,6,24.277,CIN,PIT,True,8,7,71,10.14,0,87.5%,8.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,7,34,Chad Johnson
2002,2002-10-27,7,8,24.291,CIN,TEN,True,7,6,86,14.33,0,85.7%,12.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,24,30,Chad Johnson
2002,2002-11-03,8,9,24.298,CIN,HOU,True,5,3,41,13.67,1,60.0%,8.20,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,True,38,3,Chad Johnson
2002,2002-11-10,9,10,24.305,CIN,BAL,True,11,7,110,15.71,1,63.6%,10.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,True,False,27,38,Chad Johnson
2002,2002-11-17,10,11,24.312,CIN,CLE,True,8,4,103,25.75,1,50.0%,12.88,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,False,False,20,27,Chad Johnson
2002,2002-11-24,11,12,24.319,CIN,PIT,True,14,7,152,21.71,0,50.0%,10.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,21,29,Chad Johnson
2002,2002-12-01,12,13,24.326,CIN,BAL,True,6,4,78,19.50,1,66.7%,13.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,,0,0,0,0,False,False,23,27,Chad Johnson
2002,2002-12-08,13,14,24.333,CIN,CAR,True,8,6,114,19.00,0,75.0%,14.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,31,52,Chad Johnson
2002,2002-12-15,14,15,24.340,CIN,JAX,True,13,4,91,22.75,0,30.8%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,15,29,Chad Johnson
2002,2002-12-22,15,16,24.347,CIN,NOR,True,9,4,47,11.75,0,44.4%,5.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,20,13,Chad Johnson
