Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-12-11,13,14,,MIN,@,DET,L 28-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Adrian Peterson
2011,2011-12-18,14,15,26.272,MIN,,NOR,L 20-42,True,10,60,6.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2011,2011-12-24,15,16,26.278,MIN,@,WAS,W 33-26,True,12,38,3.17,1,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2011,2012-01-01,16,17,,MIN,,CHI,L 13-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Adrian Peterson
2012,2012-09-09,1,1,27.172,MIN,,JAX,W 26-23,True,17,84,4.94,2,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,2,12,0,0,0,0,0,0,32,54%,0,0%,0,0%,False,Adrian Peterson
2012,2012-09-16,2,2,27.179,MIN,@,IND,L 20-23,True,16,60,3.75,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,,0,0,0,0,0,0,0,0,43,61%,0,0%,0,0%,True,Adrian Peterson
2012,2012-09-23,3,3,27.186,MIN,,SFO,W 24-13,True,25,86,3.44,0,4,2,21,10.50,0,50.0%,5.25,0,0,,0,,0,0,1,0,0,0,0,0,49,62%,0,0%,0,0%,False,Adrian Peterson
2012,2012-09-30,4,4,27.193,MIN,@,DET,W 20-13,True,21,102,4.86,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,46,79%,0,0%,0,0%,True,Adrian Peterson
2012,2012-10-07,5,5,27.200,MIN,,TEN,W 30-7,True,17,88,5.18,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,44,64%,0,0%,0,0%,False,Adrian Peterson
2012,2012-10-14,6,6,27.207,MIN,@,WAS,L 26-38,True,17,79,4.65,0,8,7,50,7.14,0,87.5%,6.25,0,0,,0,,0,0,0,0,0,0,0,0,70,83%,0,0%,0,0%,True,Adrian Peterson
2012,2012-10-21,7,7,27.214,MIN,,ARI,W 21-14,True,23,153,6.65,1,4,2,6,3.00,0,50.0%,1.50,0,0,,0,,1,6,0,0,0,0,0,0,41,79%,0,0%,0,0%,False,Adrian Peterson
