Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021,2021-10-17,6,6,24.333,ARI,@,CLE,W 37-14,True,8,5,75,15.00,1,62.5%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,64,85%,0,0%,0,0%,True,Christian Kirk
2021,2021-10-24,7,7,24.340,ARI,,HOU,W 31-5,False,5,4,50,12.50,1,80.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,72%,0,0%,0,0%,False,Christian Kirk
2021,2021-10-28,8,8,24.344,ARI,,GNB,L 21-24,True,6,4,46,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,78%,0,0%,0,0%,False,Christian Kirk
2021,2021-11-07,9,9,24.354,ARI,@,SFO,W 31-17,True,6,6,91,15.17,0,100.0%,15.17,0,0,,0,1,1,100.00,33,0,0,118.7,0,0,33.00,33.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,96%,0,0%,1,4%,True,Christian Kirk
2021,2021-11-14,10,10,24.361,ARI,,CAR,L 10-34,True,8,7,58,8.29,0,87.5%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,85%,0,0%,0,0%,False,Christian Kirk
2021,2021-11-21,11,11,25.003,ARI,@,SEA,W 23-13,True,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,73%,0,0%,1,4%,True,Christian Kirk
2021,2021-12-05,12,13,25.017,ARI,@,CHI,W 33-22,False,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,32,60%,0,0%,1,4%,True,Christian Kirk
2021,2021-12-13,13,14,25.025,ARI,,LAR,L 23-30,True,6,3,86,28.67,0,50.0%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,1,0,0,58,74%,0,0%,1,4%,False,Christian Kirk
2021,2021-12-19,14,15,25.031,ARI,@,DET,L 12-30,True,12,9,94,10.44,1,75.0%,7.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,72,96%,0,0%,1,4%,True,Christian Kirk
2021,2021-12-25,15,16,25.037,ARI,,IND,L 16-22,False,9,7,48,6.86,0,77.8%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,85%,0,0%,3,13%,False,Christian Kirk
2021,2022-01-02,16,17,25.045,ARI,@,DAL,W 25-22,False,9,6,79,13.17,0,66.7%,8.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-5,-5.00,0,,0,0,0,0,0,0,0,0,69,90%,0,0%,4,15%,True,Christian Kirk
2021,2022-01-09,17,18,25.052,ARI,,SEA,L 30-38,True,3,2,43,21.50,0,66.7%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,89%,0,0%,2,6%,False,Christian Kirk
,56 Games,,,,,,,24-31-1,False,358,236,2902,12.30,17,65.9%,8.11,16,142,8.88,0,1,1,100.00,33,0,0,118.7,0,0,33.00,33.00,1,20,20.00,0,51,330,6.47,0,1,17,104,1,0,0,1,0,0,,,,,,,False,Christian Kirk
