Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,26.317,ARI,SEA,False,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,48%,0,0%,10,33%,False,True,20,16,Early Doucet
2012,2012-09-16,2,2,26.324,ARI,NWE,False,4,3,21,7.00,0,75.0%,5.25,0,0,,0,1,18,18.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,27,43%,0,0%,11,34%,True,True,20,18,Early Doucet
2012,2012-09-23,3,3,26.331,ARI,PHI,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,37%,0,0%,8,31%,False,True,27,6,Early Doucet
2012,2012-09-30,4,4,26.338,ARI,MIA,False,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,64%,0,0%,10,31%,False,True,24,21,Early Doucet
2012,2012-10-04,5,5,26.342,ARI,STL,True,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,67%,0,0%,6,23%,True,False,3,17,Early Doucet
2012,2012-10-14,6,6,26.352,ARI,BUF,False,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,46%,0,0%,10,31%,False,False,16,19,Early Doucet
2012,2012-10-21,7,7,26.359,ARI,MIN,False,6,3,19,6.33,0,50.0%,3.17,2,9,4.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,36,51%,0,0%,13,50%,True,False,14,21,Early Doucet
2012,2012-10-29,8,8,27.001,ARI,SFO,False,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,68%,0,0%,12,50%,False,False,3,24,Early Doucet
2012,2012-11-04,9,9,27.007,ARI,GNB,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,29%,0,0%,10,30%,True,False,17,31,Early Doucet
2012,2012-11-18,10,11,27.021,ARI,ATL,False,7,5,28,5.60,0,71.4%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,48%,0,0%,11,33%,True,False,19,23,Early Doucet
