Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-10-11,4.0,5.0,29.022,TEN,BUF,L 13-14,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,False,Ryan Succop,False,13,14
2015.0,2015-10-18,5.0,6.0,29.029,TEN,MIA,L 10-38,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,21%,False,Ryan Succop,False,10,38
2015.0,2015-10-25,6.0,7.0,29.036,TEN,ATL,L 7-10,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,14%,False,Ryan Succop,False,7,10
2015.0,2015-11-01,7.0,8.0,29.043,TEN,HOU,L 6-20,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,17%,True,Ryan Succop,False,6,20
2015.0,2015-11-08,8.0,9.0,29.05,TEN,NOR,W 34-28,False,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,35%,True,Ryan Succop,True,34,28
2015.0,2015-11-15,9.0,10.0,29.057,TEN,CAR,L 10-27,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,20%,False,Ryan Succop,False,10,27
2015.0,2015-11-19,10.0,11.0,29.061,TEN,JAX,L 13-19,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,28%,True,Ryan Succop,False,13,19
2015.0,2015-11-29,11.0,12.0,29.071,TEN,OAK,L 21-24,False,1,2,50.0,,,,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,23%,False,Ryan Succop,False,21,24
2015.0,2015-12-06,12.0,13.0,29.078,TEN,JAX,W 42-39,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,13,42%,False,Ryan Succop,True,42,39
2015.0,2015-12-13,13.0,14.0,29.085,TEN,NYJ,L 8-30,False,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,2,8%,True,Ryan Succop,False,8,30
2015.0,2015-12-20,14.0,15.0,29.092,TEN,NWE,L 16-33,False,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,22%,True,Ryan Succop,False,16,33
2015.0,2015-12-27,15.0,16.0,29.099,TEN,HOU,L 6-34,False,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,2,7%,False,Ryan Succop,False,6,34
2015.0,2016-01-03,16.0,17.0,29.106,TEN,IND,L 24-30,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,27%,True,Ryan Succop,False,24,30
2016.0,2016-09-11,1.0,1.0,29.358,TEN,MIN,L 16-25,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,False,Ryan Succop,False,16,25
2016.0,2016-09-18,2.0,2.0,29.365,TEN,DET,W 16-15,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,30%,True,Ryan Succop,True,16,15
2016.0,2016-09-25,3.0,3.0,30.006,TEN,OAK,L 10-17,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,20%,False,Ryan Succop,False,10,17
2016.0,2016-10-02,4.0,4.0,30.013,TEN,HOU,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,True,Ryan Succop,False,20,27
2016.0,2016-10-09,5.0,5.0,30.02,TEN,MIA,W 30-17,False,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,38%,True,Ryan Succop,True,30,17
2016.0,2016-10-16,6.0,6.0,30.027,TEN,CLE,W 28-26,False,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,30%,False,Ryan Succop,True,28,26
2016.0,2016-10-23,7.0,7.0,30.034,TEN,IND,L 26-34,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,34%,False,Ryan Succop,False,26,34
2016.0,2016-10-27,8.0,8.0,30.038,TEN,JAX,W 36-22,False,3,4,75.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,47%,False,Ryan Succop,True,36,22
2016.0,2016-11-06,9.0,9.0,30.048,TEN,SDG,L 35-43,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,32%,True,Ryan Succop,False,35,43
2016.0,2016-11-13,10.0,10.0,30.055,TEN,GNB,W 47-25,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,16,46%,False,Ryan Succop,True,47,25
2016.0,2016-11-20,11.0,11.0,30.062,TEN,IND,L 17-24,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,True,Ryan Succop,False,17,24
2016.0,2016-11-27,12.0,12.0,30.069,TEN,CHI,W 27-21,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,42%,True,Ryan Succop,True,27,21
2016.0,2016-12-11,13.0,14.0,30.083,TEN,DEN,W 13-10,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,28%,False,Ryan Succop,True,13,10
2016.0,2016-12-18,14.0,15.0,30.09,TEN,KAN,W 19-17,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,29%,True,Ryan Succop,True,19,17
2016.0,2016-12-24,15.0,16.0,30.096,TEN,JAX,L 17-38,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,21%,True,Ryan Succop,False,17,38
2016.0,2017-01-01,16.0,17.0,30.104,TEN,HOU,W 24-17,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,38%,False,Ryan Succop,True,24,17
2017.0,2017-09-10,1.0,1.0,30.356,TEN,OAK,L 16-26,False,1,1,100.0,3,4,75.0,0,10,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,10,33%,False,Ryan Succop,False,16,26
2017.0,2017-09-17,2.0,2.0,30.363,TEN,JAX,W 37-16,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,50%,True,Ryan Succop,True,37,16
2017.0,2017-09-24,3.0,3.0,31.005,TEN,SEA,W 33-27,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,14,39%,False,Ryan Succop,True,33,27
2017.0,2017-10-01,4.0,4.0,31.012,TEN,HOU,L 14-57,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,15%,True,Ryan Succop,False,14,57
2017.0,2017-10-08,5.0,5.0,31.019,TEN,MIA,L 10-16,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,16%,True,Ryan Succop,False,10,16
2017.0,2017-10-16,6.0,6.0,31.027,TEN,IND,W 36-22,False,3,3,100.0,5,5,100.0,0,18,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,17,53%,False,Ryan Succop,True,36,22
2017.0,2017-10-22,7.0,7.0,31.033,TEN,CLE,W 12-9,False,,,,4,5,80.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,40%,True,Ryan Succop,True,12,9
2017.0,2017-11-05,8.0,9.0,31.047,TEN,BAL,W 23-20,False,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,False,Ryan Succop,True,23,20
2017.0,2017-11-12,9.0,10.0,31.054,TEN,CIN,W 24-20,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,False,Ryan Succop,True,24,20
2017.0,2017-11-16,10.0,11.0,31.058,TEN,PIT,L 17-40,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,26%,True,Ryan Succop,False,17,40
2017.0,2017-11-26,11.0,12.0,31.068,TEN,IND,W 20-16,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,33%,True,Ryan Succop,True,20,16
2017.0,2017-12-03,12.0,13.0,31.075,TEN,HOU,W 24-13,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,38%,False,Ryan Succop,True,24,13
2017.0,2017-12-10,13.0,14.0,31.082,TEN,ARI,L 7-12,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,15%,True,Ryan Succop,False,7,12
2017.0,2017-12-17,14.0,15.0,31.089,TEN,SFO,L 23-25,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,39%,True,Ryan Succop,False,23,25
2017.0,2017-12-24,15.0,16.0,31.096,TEN,LAR,L 23-27,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,39%,False,Ryan Succop,False,23,27
2017.0,2017-12-31,16.0,17.0,31.103,TEN,JAX,W 15-10,False,,1,0.0,3,3,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,26%,False,Ryan Succop,True,15,10
2018.0,2018-09-09,1.0,1.0,31.355,TEN,MIA,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,True,Ryan Succop,False,20,27
