Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-27,3,3,27.304,CLE,,WAS,W 34-20,True,4,4,36,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,71%,0,0%,0,0%,False,Jarvis Landry
2020,2020-10-04,4,4,27.311,CLE,@,DAL,W 49-38,True,6,5,48,9.60,0,83.3%,8.00,0,0,,0,1,1,100.00,37,1,0,158.3,0,0,37.00,57.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,75%,0,0%,0,0%,True,Jarvis Landry
2020,2020-10-11,5,5,27.318,CLE,,IND,W 32-23,True,9,4,88,22.00,0,44.4%,9.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,77%,0,0%,0,0%,False,Jarvis Landry
2020,2020-10-18,6,6,27.325,CLE,@,PIT,L 7-38,True,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,77%,0,0%,0,0%,True,Jarvis Landry
2020,2020-10-25,7,7,27.332,CLE,@,CIN,W 37-34,False,6,5,48,9.60,0,83.3%,8.00,2,4,2.00,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,77%,0,0%,0,0%,True,Jarvis Landry
2020,2020-11-01,8,8,27.339,CLE,,LVR,L 6-16,True,11,4,52,13.00,0,36.4%,4.73,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,78%,0,0%,0,0%,False,Jarvis Landry
2020,2020-11-15,9,10,27.353,CLE,,HOU,W 10-7,True,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,False,Jarvis Landry
2020,2020-11-22,10,11,27.360,CLE,,PHI,W 22-17,True,2,2,23,11.50,0,100.0%,11.50,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,57%,0,0%,0,0%,False,Jarvis Landry
2020,2020-11-29,11,12,28.001,CLE,@,JAX,W 27-25,True,11,8,143,17.88,1,72.7%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,0,0%,True,Jarvis Landry
2020,2020-12-06,12,13,28.008,CLE,@,TEN,W 41-35,True,10,8,62,7.75,1,80.0%,6.20,0,0,,0,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,66%,0,0%,0,0%,True,Jarvis Landry
2020,2020-12-14,13,14,28.016,CLE,,BAL,L 42-47,True,9,6,52,8.67,0,66.7%,5.78,0,0,,0,1,1,100.00,12,0,0,116.7,0,0,12.00,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,2,0,0,3,6,0,76,90%,0,0%,0,0%,False,Jarvis Landry
2020,2020-12-20,14,15,28.022,CLE,@,NYG,W 20-6,True,8,7,61,8.71,1,87.5%,7.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,70%,0,0%,0,0%,True,Jarvis Landry
2020,2020-12-27,15,16,,CLE,@,NYJ,L 16-23,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,True,Jarvis Landry
2020,2021-01-03,16,17,28.036,CLE,,PIT,W 24-22,True,6,5,51,10.20,0,83.3%,8.50,1,3,3.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,False,Jarvis Landry
