Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-12-19,14,15,25.008,OAK,DEN,True,7,4,39,9.75,0,57.1%,5.57,0,0,0,,0,0,0,0,,,,,,,False,True,39,23,Zach Miller
2010,2010-12-26,15,16,25.015,OAK,IND,True,12,9,66,7.33,1,75.0%,5.50,1,6,0,,0,0,0,0,,,,,,,False,False,26,31,Zach Miller
2010,2011-01-02,16,17,25.022,OAK,KAN,True,5,5,31,6.20,0,100.0%,6.20,0,0,0,,0,0,0,0,,,,,,,True,True,31,10,Zach Miller
2011,2011-09-11,1,1,25.274,SEA,SFO,True,4,2,19,9.50,0,50.0%,4.75,0,0,0,,0,0,0,0,,,,,,,True,False,17,33,Zach Miller
2011,2011-09-18,2,2,25.281,SEA,PIT,True,2,1,13,13.00,0,50.0%,6.50,0,0,0,,0,0,0,0,,,,,,,True,False,0,24,Zach Miller
2011,2011-09-25,3,3,25.288,SEA,ARI,True,3,2,9,4.50,0,66.7%,3.00,0,0,0,,0,0,0,0,,,,,,,False,True,13,10,Zach Miller
2011,2011-10-02,4,4,25.295,SEA,ATL,True,6,3,21,7.00,0,50.0%,3.50,0,0,0,,0,0,0,0,,,,,,,False,False,28,30,Zach Miller
2011,2011-10-09,5,5,25.302,SEA,NYG,True,,,,,,0.0%,,0,0,0,,,0,0,0,,,,,,,True,True,36,25,Zach Miller
2011,2011-10-23,6,7,,SEA,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,6,Zach Miller
2011,2011-10-30,7,8,25.323,SEA,CIN,True,5,3,37,12.33,0,60.0%,7.40,0,0,0,,0,0,0,0,,,,,,,False,False,12,34,Zach Miller
2011,2011-11-06,8,9,25.330,SEA,DAL,True,,,,,,0.0%,,0,0,0,,,0,0,0,,,,,,,True,False,13,23,Zach Miller
2011,2011-11-13,9,10,25.337,SEA,BAL,True,4,3,24,8.00,0,75.0%,6.00,0,0,0,,0,0,0,0,,,,,,,False,True,22,17,Zach Miller
2011,2011-11-20,10,11,25.344,SEA,STL,True,1,1,10,10.00,0,100.0%,10.00,0,0,0,,0,0,0,0,,,,,,,True,True,24,7,Zach Miller
