Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-08,8,9,22.290,BAL,CIN,True,12,48,4.00,1,8,8,87,10.88,0,100.0%,10.88,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0,0,0,0,0,0,,,,,,,True,False,7,17,Ray Rice
2009,2009-11-16,9,10,22.298,BAL,CLE,True,20,89,4.45,1,3,3,15,5.00,0,100.0%,5.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0,0,0,0,0,0,,,,,,,True,True,16,0,Ray Rice
2009,2009-11-22,10,11,22.304,BAL,IND,True,20,71,3.55,0,10,7,64,9.14,0,70.0%,6.40,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,False,False,15,17,Ray Rice
2009,2009-11-29,11,12,22.311,BAL,PIT,True,19,88,4.63,0,5,5,67,13.40,0,100.0%,13.40,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,False,True,20,17,Ray Rice
2009,2009-12-07,12,13,22.319,BAL,GNB,True,14,54,3.86,0,6,3,17,5.67,0,50.0%,2.83,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,1,0,0,1,2,0,,,,,,,True,False,14,27,Ray Rice
2009,2009-12-13,13,14,22.325,BAL,DET,True,13,166,12.77,1,7,4,53,13.25,0,57.1%,7.57,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,1,0,0,0,0,0,,,,,,,False,True,48,3,Ray Rice
2009,2009-12-20,14,15,22.332,BAL,CHI,True,16,87,5.44,0,5,5,17,3.40,0,100.0%,3.40,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,False,True,31,7,Ray Rice
2009,2009-12-27,15,16,22.339,BAL,PIT,True,30,141,4.70,0,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,1,0,0,0,0,0,,,,,,,True,False,20,23,Ray Rice
2009,2010-01-03,16,17,22.346,BAL,OAK,True,14,70,5.00,0,7,4,19,4.75,0,57.1%,2.71,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,0,,,,,,,True,True,21,13,Ray Rice
2010,2010-09-13,1,1,23.234,BAL,NYJ,True,21,43,2.05,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,10,9,Ray Rice
2010,2010-09-19,2,2,23.240,BAL,CIN,True,16,87,5.44,0,6,4,30,7.50,0,66.7%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,15,Ray Rice
2010,2010-09-26,3,3,23.247,BAL,CLE,True,15,80,5.33,0,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Ray Rice
2010,2010-10-03,4,4,23.254,BAL,PIT,False,8,20,2.50,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,17,14,Ray Rice
2010,2010-10-10,5,5,23.261,BAL,DEN,True,27,133,4.93,2,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,31,17,Ray Rice
2010,2010-10-17,6,6,23.268,BAL,NWE,True,28,88,3.14,0,10,8,38,4.75,0,80.0%,3.80,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,20,23,Ray Rice
2010,2010-10-24,7,7,23.275,BAL,BUF,False,16,72,4.50,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,37,34,Ray Rice
2010,2010-11-07,8,9,23.289,BAL,MIA,True,22,83,3.77,0,8,7,97,13.86,0,87.5%,12.13,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,26,10,Ray Rice
