Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-12-24,15,16,26.317,DEN,@,WAS,L 11-27,True,16,88,5.50,1,9,7,45,6.43,0,77.8%,5.00,1,1,8,0,0,0,0,0,0,42,57%,0,0%,0,0%,True,C.J. Anderson
2017,2017-12-31,16,17,26.324,DEN,,KAN,L 24-27,True,18,61,3.39,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,37,57%,0,0%,0,0%,False,C.J. Anderson
2018,2018-09-09,1,1,27.211,CAR,,DAL,W 16-8,False,7,35,5.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,12,18%,0,0%,2,9%,False,C.J. Anderson
2018,2018-09-16,2,2,27.218,CAR,@,ATL,L 24-31,True,3,31,10.33,0,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,8,12%,0,0%,1,4%,True,C.J. Anderson
2018,2018-09-23,3,3,27.225,CAR,,CIN,W 31-21,False,2,9,4.50,0,1,1,24,24.00,1,100.0%,24.00,,1,6,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,C.J. Anderson
2018,2018-10-07,4,5,27.239,CAR,,NYG,W 33-31,False,4,9,2.25,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,7,10%,0,0%,0,0%,False,C.J. Anderson
2018,2018-10-14,5,6,27.246,CAR,@,WAS,L 17-23,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,1,2%,0,0%,0,0%,True,C.J. Anderson
2018,2018-10-21,6,7,27.253,CAR,@,PHI,W 21-17,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,True,C.J. Anderson
2018,2018-10-28,7,8,27.260,CAR,,BAL,W 36-21,False,5,20,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,12,18%,0,0%,3,11%,False,C.J. Anderson
2018,2018-11-04,8,9,27.267,CAR,,TAM,W 42-28,False,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,3,5%,0,0%,5,16%,False,C.J. Anderson
2018,2018-11-08,9,10,27.271,CAR,@,PIT,L 21-52,False,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,5,9%,0,0%,9,29%,True,C.J. Anderson
2018,2018-12-09,13,14,,OAK,,PIT,W 24-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,C.J. Anderson
2018,2018-12-23,15,16,27.316,LAR,@,ARI,W 31-9,True,20,167,8.35,1,3,1,-5,-5.00,0,33.3%,-1.67,,1,6,0,0,0,0,0,0,51,75%,0,0%,0,0%,True,C.J. Anderson
2018,2018-12-30,16,17,27.323,LAR,,SFO,W 48-32,True,23,132,5.74,1,3,3,22,7.33,0,100.0%,7.33,,1,6,0,0,0,0,0,0,47,64%,0,0%,0,0%,False,C.J. Anderson
2019,2019-09-08,1,1,28.210,DET,@,ARI,T 27-27,False,11,35,3.18,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,24,29%,0,0%,0,0%,True,C.J. Anderson
2019,2019-09-15,2,2,28.217,DET,,LAC,W 13-10,False,5,8,1.60,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,12,20%,0,0%,0,0%,False,C.J. Anderson
,71 Games,,,,,,,46-24-1,False,776,3497,4.51,22,154,108,900,8.33,5,70.1%,5.84,1,27,164,4,3,0,1,0,0,,,,,,,False,C.J. Anderson
