Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-10-31,8.0,8.0,24.089,TAM,NOR,L 27-36,False,3,13,4.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,True,Ronald Jones II,False,27,36
2021.0,2021-11-14,9.0,10.0,24.103,TAM,WAS,L 19-29,False,,,,,,,,,,0.0%,,0,0,,,,,,,,,,,,,1,2%,0,0%,0,0%,True,Ronald Jones II,False,19,29
2021.0,2021-11-22,10.0,11.0,24.111,TAM,NYG,W 30-10,False,8,33,4.13,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,15,19%,0,0%,0,0%,False,Ronald Jones II,True,30,10
2021.0,2021-11-28,11.0,12.0,24.117,TAM,IND,W 38-31,False,7,37,5.29,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,0,0%,True,Ronald Jones II,True,38,31
2021.0,2021-12-05,12.0,13.0,24.124,TAM,ATL,W 30-17,False,1,2,2.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,True,Ronald Jones II,True,30,17
2021.0,2021-12-12,13.0,14.0,24.131,TAM,BUF,W 33-27,False,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,10%,0,0%,0,0%,False,Ronald Jones II,True,33,27
2021.0,2021-12-19,14.0,15.0,24.138,TAM,NOR,L 0-9,False,8,63,7.88,0,2,2,8,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,30%,0,0%,0,0%,False,Ronald Jones II,False,0,9
2021.0,2021-12-26,15.0,16.0,24.145,TAM,CAR,W 32-6,True,20,65,3.25,1,3,2,16,8.00,0,66.7%,5.33,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,52%,0,0%,0,0%,True,Ronald Jones II,True,32,6
2021.0,2022-01-02,16.0,17.0,24.152,TAM,NYJ,W 28-24,True,10,26,2.60,0,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,27%,0,0%,0,0%,True,Ronald Jones II,True,28,24
2021.0,2022-01-09,17.0,18.0,,TAM,CAR,W 41-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Ronald Jones II,True,41,17
,55 Games,,,,,,30-25-0,False,488,2174,4.45,18,104,76,571,7.51,1,73.1%,5.49,19,114,0.0,1,0,1,0,0,7,6,0,0,0,0,,,,,,,False,Ronald Jones II,False,25,0
