Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-11-13,9,10,29.174,NYG,MIN,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,21,24,Jay Feely
2005,2005-11-20,10,11,29.181,NYG,PHI,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,17,Jay Feely
2005,2005-11-27,11,12,29.188,NYG,SEA,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,2,5,40.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,21,24,Jay Feely
2005,2005-12-04,12,13,29.195,NYG,DAL,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,17,10,Jay Feely
2005,2005-12-11,13,14,29.202,NYG,PHI,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,4,4,100.0,0,14,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,26,23,Jay Feely
2005,2005-12-17,14,15,29.208,NYG,KAN,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,17,Jay Feely
2005,2005-12-24,15,16,29.215,NYG,WAS,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,3,66.7,0,8,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,20,35,Jay Feely
2005,2005-12-31,16,17,29.222,NYG,OAK,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,30,21,Jay Feely
2006,2006-09-10,1,1,30.110,NYG,IND,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,21,26,Jay Feely
2006,2006-09-17,2,2,30.117,NYG,PHI,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,30,24,Jay Feely
