Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-27,3,3,28.320,CHI,@,ATL,W 30-26,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,31%,True,Cairo Santos
2020,2020-10-04,4,4,28.327,CHI,,IND,L 11-19,False,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,4,15%,False,Cairo Santos
2020,2020-10-08,5,5,28.331,CHI,,TAM,W 20-19,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0%,0,0%,9,32%,False,Cairo Santos
2020,2020-10-18,6,6,28.341,CHI,@,CAR,W 23-16,False,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0%,0,0%,11,42%,True,Cairo Santos
2020,2020-10-26,7,7,28.349,CHI,@,LAR,L 10-24,False,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,20%,True,Cairo Santos
2020,2020-11-01,8,8,28.355,CHI,,NOR,L 23-26,False,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,1,0,1,0,0,0,0%,0,0%,12,34%,False,Cairo Santos
2020,2020-11-08,9,9,28.362,CHI,@,TEN,L 17-24,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,7,21%,True,Cairo Santos
2020,2020-11-16,10,10,29.004,CHI,,MIN,L 13-19,False,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0%,0,0%,7,28%,False,Cairo Santos
2020,2020-11-29,11,12,29.017,CHI,@,GNB,L 25-41,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0%,0,0%,8,32%,True,Cairo Santos
2020,2020-12-06,12,13,29.024,CHI,,DET,L 30-34,False,0,0,,0,0,0,,0,0,,,3,4,75.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,False,Cairo Santos
2020,2020-12-13,13,14,29.031,CHI,,HOU,W 36-7,False,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,13,48%,False,Cairo Santos
2020,2020-12-20,14,15,29.038,CHI,@,MIN,W 33-27,False,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0%,0,0%,15,52%,True,Cairo Santos
