Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-28,7,8,26.085,DET,SEA,False,7,25,3.57,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,38%,0,0%,8,30%,False,True,28,24,Joique Bell
2012,2012-11-04,8,9,26.092,DET,JAX,False,13,73,5.62,1,4,3,36,12.00,0,75.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,38%,0,0%,5,24%,True,True,31,14,Joique Bell
2012,2012-11-11,9,10,26.099,DET,MIN,False,1,4,4.00,0,8,7,44,6.29,0,87.5%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,41%,0,0%,4,12%,True,False,24,34,Joique Bell
2012,2012-11-18,10,11,26.106,DET,GNB,False,1,4,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,3,11%,False,False,20,24,Joique Bell
2012,2012-11-22,11,12,26.110,DET,HOU,False,5,47,9.40,1,2,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,18,20%,0,0%,6,15%,False,False,31,34,Joique Bell
2012,2012-12-02,12,13,26.120,DET,IND,False,7,81,11.57,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,27%,0,0%,13,32%,False,False,33,35,Joique Bell
2012,2012-12-09,13,14,26.127,DET,GNB,False,12,49,4.08,0,7,5,47,9.40,0,71.4%,6.71,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,51%,0,0%,2,7%,True,False,20,27,Joique Bell
2012,2012-12-16,14,15,26.134,DET,ARI,False,7,24,3.43,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,43%,0,0%,15,43%,True,False,10,38,Joique Bell
2012,2012-12-22,15,16,26.140,DET,ATL,False,4,10,2.50,0,11,9,73,8.11,0,81.8%,6.64,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,54%,0,0%,6,22%,False,False,18,31,Joique Bell
2012,2012-12-30,16,17,26.148,DET,CHI,False,2,6,3.00,0,2,2,19,9.50,0,100.0%,9.50,2,54,27.00,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,18,28%,0,0%,12,36%,False,False,24,26,Joique Bell
